"category","effect","prior_alpha","prior_beta","sample_size_per_day","freq_treat","freq_treat_peek","bayes_treat_0.1","bayes_treat_peek_0.1","bayes_treat_0.01","bayes_treat_peek_0.01","bayes_treat_0.001","bayes_treat_peek_0.001","bayes_treat_0.0001","bayes_treat_peek_0.0001","bayes_treat_0.00001","bayes_treat_peek_0.00001"
"poisson",0,"23","1",500,"4.6%","26.8%","100%","100%","99.4%","100%","41.8%","69.2%","6.6%","19.6%","1.2%","4%"
"poisson",0,"23","1",5000,"6.8%","28.6%","100%","100%","100%","100%","79%","92.8%","20%","43%","4.6%","11.4%"
"poisson",0,"23","1",50000,"5.4%","29.4%","100%","100%","100%","100%","99.6%","99.8%","40.6%","69.4%","5.2%","18.6%"
"poisson",0,"230","10",500,"6.6%","29.4%","100%","100%","100%","100%","39.4%","68.6%","7.6%","20.8%","1%","5%"
"poisson",0,"230","10",5000,"4.6%","26.6%","100%","100%","100%","100%","80.8%","94%","17.6%","41.8%","2.8%","9.8%"
"poisson",0,"230","10",50000,"5.4%","25.6%","100%","100%","100%","100%","99.8%","100%","42.6%","72.4%","5.8%","20.8%"
"poisson",0,"6","1",500,"4%","29.4%","100%","100%","100%","100%","41.4%","67.6%","7.2%","19.4%","0.8%","3.8%"
"poisson",0,"6","1",5000,"3.4%","27.2%","100%","100%","100%","100%","77.2%","93.6%","14.6%","38.4%","1.6%","7.6%"
"poisson",0,"6","1",50000,"5.2%","31.2%","100%","100%","100%","100%","99.8%","100%","36.6%","65.4%","6.2%","19.4%"
"poisson",0.01,"23","1",500,"5.2%","25%","100%","100%","100%","100%","42.8%","73.2%","6.6%","18.2%","1.4%","4.4%"
"poisson",0.01,"23","1",5000,"6.4%","29%","100%","100%","100%","100%","89.6%","97.2%","27.6%","51.4%","5.2%","15.2%"
"poisson",0.01,"23","1",50000,"26.2%","50.8%","100%","100%","100%","100%","100%","100%","84.2%","95.6%","44.2%","62.2%"
"poisson",0.01,"230","10",500,"4.8%","28.4%","100%","100%","99.8%","100%","43.2%","73.8%","7.2%","25.6%","1.2%","4%"
"poisson",0.01,"230","10",5000,"6%","33.2%","100%","100%","100%","100%","89%","96.8%","30%","51.8%","5.2%","16%"
"poisson",0.01,"230","10",50000,"23.6%","48.8%","100%","100%","100%","100%","100%","100%","87%","95%","38.8%","57.2%"
"poisson",0.01,"6","1",500,"5.2%","28.2%","100%","100%","99.8%","99.8%","47.6%","73.6%","8.6%","22.4%","1.2%","5.4%"
"poisson",0.01,"6","1",5000,"8%","32.8%","100%","100%","100%","100%","87.8%","96.4%","31.6%","56%","7.8%","16%"
"poisson",0.01,"6","1",50000,"25.6%","47%","100%","100%","100%","100%","100%","100%","86.8%","96%","42.2%","57.8%"
"poisson",0.1,"23","1",500,"26.4%","48.8%","100%","100%","100%","100%","85.2%","95.2%","42.2%","59.6%","13.8%","24.6%"
"poisson",0.1,"23","1",5000,"97.8%","98.8%","100%","100%","100%","100%","100%","100%","100%","100%","97.8%","98.6%"
"poisson",0.1,"23","1",50000,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"poisson",0.1,"230","10",500,"23%","48.2%","100%","100%","100%","100%","85.6%","92.8%","43.8%","60.4%","11%","23.8%"
"poisson",0.1,"230","10",5000,"98.2%","99%","100%","100%","100%","100%","100%","100%","100%","100%","98%","98.6%"
"poisson",0.1,"230","10",50000,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"poisson",0.1,"6","1",500,"23.8%","50.2%","100%","100%","100%","100%","84.4%","93.2%","40.4%","60.4%","10.8%","21.4%"
"poisson",0.1,"6","1",5000,"98%","99.4%","100%","100%","100%","100%","100%","100%","99.8%","100%","97.8%","99%"
"poisson",0.1,"6","1",50000,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
