"case_id","category","effect","sample_size_per_day","prior_alpha","prior_beta","prior","freq_treat","freq_treat_peek","peek_multiplier_freq","bayes_treat_0.95","bayes_treat_peek_0.95","peek_multiplier_bayes"
1,"bernoulli",0,500,1,1,"neutral","6%","25.6%",4.3,"5%","24.6%",4.9
1,"bernoulli",0,5000,1,1,"neutral","3.6%","25.6%",7.1,"4.2%","24.8%",5.9
1,"bernoulli",0,50000,1,1,"neutral","4%","27%",6.8,"3%","23.6%",7.9
1,"bernoulli",0,500,3,100,"directional","3.4%","20.2%",5.9,"5.2%","23.4%",4.5
1,"bernoulli",0,5000,3,100,"directional","5.2%","22.4%",4.3,"4.6%","22.6%",4.9
1,"bernoulli",0,50000,3,100,"directional","5.8%","29.6%",5.1,"5.4%","21.4%",4
1,"bernoulli",0,500,30,10,"wrong","5%","20.6%",4.1,"5%","23.2%",4.6
1,"bernoulli",0,5000,30,10,"wrong","5%","24.6%",4.9,"6.2%","23.2%",3.7
1,"bernoulli",0,50000,30,10,"wrong","3.8%","24.4%",6.4,"3.8%","22%",5.8
1,"bernoulli",0,500,30,1000,"confident","5.4%","25%",4.6,"4.4%","19.8%",4.5
1,"bernoulli",0,5000,30,1000,"confident","5.4%","25.2%",4.7,"6%","24.2%",4
1,"bernoulli",0,50000,30,1000,"confident","4%","26.2%",6.5,"5.8%","25.4%",4.4
2,"bernoulli",0.001,500,1,1,"neutral","5.8%","23.4%",4,"10.6%","34.4%",3.2
2,"bernoulli",0.001,5000,1,1,"neutral","19.6%","44.8%",2.3,"30.8%","55.6%",1.8
2,"bernoulli",0.001,50000,1,1,"neutral","96.4%","98.8%",1,"98.6%","99.6%",1
2,"bernoulli",0.001,500,3,100,"directional","6.6%","24%",3.6,"9.8%","29.4%",3
2,"bernoulli",0.001,5000,3,100,"directional","19%","41%",2.2,"30.2%","55.4%",1.8
2,"bernoulli",0.001,50000,3,100,"directional","94.8%","98.2%",1,"97.4%","98.8%",1
2,"bernoulli",0.001,500,30,10,"wrong","5%","24.2%",4.8,"9.4%","29%",3.1
2,"bernoulli",0.001,5000,30,10,"wrong","20.6%","41.6%",2,"32.2%","57.6%",1.8
2,"bernoulli",0.001,50000,30,10,"wrong","95.4%","97.4%",1,"96.8%","98.4%",1
2,"bernoulli",0.001,500,30,1000,"confident","5.4%","23.8%",4.4,"7.6%","27.2%",3.6
2,"bernoulli",0.001,5000,30,1000,"confident","20.4%","44.2%",2.2,"32%","57.6%",1.8
2,"bernoulli",0.001,50000,30,1000,"confident","96.6%","98%",1,"98%","99%",1
2,"bernoulli",0.005,500,1,1,"neutral","43.8%","60.8%",1.4,"55.4%","75.8%",1.4
2,"bernoulli",0.005,5000,1,1,"neutral","100%","100%",1,"100%","100%",1
2,"bernoulli",0.005,50000,1,1,"neutral","100%","100%",1,"100%","100%",1
2,"bernoulli",0.005,500,3,100,"directional","39.4%","57.8%",1.5,"53%","71.6%",1.4
2,"bernoulli",0.005,5000,3,100,"directional","100%","100%",1,"100%","100%",1
2,"bernoulli",0.005,50000,3,100,"directional","100%","100%",1,"100%","100%",1
2,"bernoulli",0.005,500,30,10,"wrong","43%","60.4%",1.4,"58%","74.6%",1.3
2,"bernoulli",0.005,5000,30,10,"wrong","100%","100%",1,"100%","100%",1
2,"bernoulli",0.005,50000,30,10,"wrong","100%","100%",1,"100%","100%",1
2,"bernoulli",0.005,500,30,1000,"confident","38.2%","60.6%",1.6,"52.4%","72.4%",1.4
2,"bernoulli",0.005,5000,30,1000,"confident","100%","100%",1,"100%","100%",1
2,"bernoulli",0.005,50000,30,1000,"confident","100%","100%",1,"100%","100%",1
